shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff8c9dee70,0x7fff8c9e0a23
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff8c3b3564,0x7fff8c3b45fb
shared-library,"/usr/lib/system/libsystem_coretls.dylib",0x7fff86fe13bc,0x7fff86fefdfe
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff8b8885f8,0x7fff8b88e23f
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff8b891190,0x7fff8b8b596e
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff920a0b10,0x7fff920b7c6a
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff90ea4f40,0x7fff90eb989f
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff965e3008,0x7fff965fb33d
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff86f483e0,0x7fff86f75992
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff88e6b200,0x7fff88e7000d
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff87e44e80,0x7fff87e4d8fb
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff88a29960,0x7fff88a2f393
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff8cddc070,0x7fff8cde20ff
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff90fa0bd8,0x7fff90fa275d
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff9214fab7,0x7fff92150524
shared-library,"/usr/lib/system/libsystem_stats.dylib",0x7fff8c4f1da0,0x7fff8c4f565a
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff8b7e0a20,0x7fff8b7e5a88
shared-library,"/usr/lib/system/libunc.dylib",0x7fff90c1cfc0,0x7fff90c1cfc0
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff90ab78b8,0x7fff90abc385
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff92f607b0,0x7fff92f7db61
shared-library,"/usr/lib/libauto.dylib",0x7fff921dd4d0,0x7fff9221ced0
shared-library,"/usr/lib/libc++abi.dylib",0x7fff885ff920,0x7fff88627a14
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff93a6914b,0x7fff93a69a22
shared-library,"/usr/lib/system/libkxld.dylib",0x7fff8c4f6be0,0x7fff8c500bc6
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff8c60ed40,0x7fff8c7a600c
shared-library,"/System/Library/Frameworks/CFNetwork.framework/Versions/A/CFNetwork",0x7fff8cbd8d00,0x7fff8cd99da0
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/FSEvents",0x7fff966245c8,0x7fff96629fee
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/CarbonCore",0x7fff941955a0,0x7fff94273e2b
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Metadata",0x7fff88638950,0x7fff886bd941
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/OSServices.framework/Versions/A/OSServices",0x7fff88decc80,0x7fff88e580eb
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/SearchKit.framework/Versions/A/SearchKit",0x7fff8efa6390,0x7fff8effa128
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/AE.framework/Versions/A/AE",0x7fff86f80ab0,0x7fff86fd857b
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/LaunchServices.framework/Versions/A/LaunchServices",0x7fff908b2750,0x7fff909a8dc2
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/DictionaryServices",0x7fff8875f100,0x7fff88783eb8
shared-library,"/usr/lib/libsqlite3.dylib",0x7fff9666f440,0x7fff967a6080
shared-library,"/usr/lib/libxml2.2.dylib",0x7fff8c9e2614,0x7fff8cab4ead
shared-library,"/usr/lib/libxar.1.dylib",0x7fff94b07798,0x7fff94b136cc
shared-library,"/usr/lib/libpam.2.dylib",0x7fff9663c0a4,0x7fff9663edab
shared-library,"/usr/lib/libOpenScriptingUtil.dylib",0x7fff88e71da4,0x7fff88e71f16
shared-library,"/usr/lib/libbz2.1.0.dylib",0x7fff94735670,0x7fff94741f65
shared-library,"/System/Library/Frameworks/DiskArbitration.framework/Versions/A/DiskArbitration",0x7fff8b3541d0,0x7fff8b358024
